item_code,food_name_english,food_name_hindi,food_type,food_category,slots,calories,carbs,fat,protein,fiber,food_season,Score,Special_slot,food_community,food_avoid_in_disorders,food_recommend_in_disorders,remarks,Detox_rank,Special_diet,code,remarks,courtesy,recipe,steps,video,gluten_free,source,portion,portion_unit,country,Diabetes_score,Diabetes_special,blood_pressure_Score,blood_pressure_special,Cholestrol_score,Cholestrol_special,PCOS_score,PCOS_special,net_carbs,WeightlossPlus_score,WeightlossPlus_special,muscle_building_score,special_slot_muscle_building_morning,special_slot_muscle_building_evening,Keto_Score,Keto_Slot,Hypothyroid_Score,Hypothyroid_Slot,Anti_Inflammatory_Score,Anti_Inflammatory_Slot,Fatty_Liver_Score,Fatty_Liver_Slot,Anemia_Score,Acidity_Score,Sleep_Score,Uric_Acid_Score,Calcium,Vitamin_D,Vitamin_B12_Score,Alkaline_Score,Alkaline_Slot,Prediabetes_Score,Prediabetes_Slot,High_Protein_Score,High_Protein_Slot,T1_Pregnancy_score,T1_Pregnancy_slot,T2_Pregnancy_score,T2_Pregnancy_slot,T3_Pregnancy_score,T3_Pregnancy_slot,Postpartum_score,Postpartum_slot,0-6_Lactation_score,0-6_Lactation_slot,7-12_Lactation_score,7-12_Lactation_slot,waterRetentionScore,waterRetentionSlot,fiteloWeightLoss_Score,fiteloWeightLossSlot,lunchCheatDayRank,lunchCheatDaySlot,dinnerCheatDayRank,dinnerCheatDaySlot,cookingProficiency,cookingTime,detoxFiteloRank,detoxFiteloSlot,travel_rank,travel_slot
2169,Broccoli Dill Salad,ब्रोकोली डिल सलाद,V,SA,"[4,7]",153.4,6.2,10.4,10.8,3.8,"[""""]",9,-1,"[""U"",""C""]","[""ML"",""T""]","[""D"",""AI"",""B"",""C""]",-,-1,-1,2169,-,by Bhavana Patil,"•        2 cups broccoli
•        ¼ cup fresh dill chopped
•        ½ cup greek yogurt or hung curd
•        salt and pepper to taste
•        1 tablespoon lemon juice
•        2 tablespoons pumpkin seeds optional
","1.	In a large covered pot, cook broccoli in a small amount of boiling water for about 2 minutes or until crisp-tender. Drain and rinse with cold water. Then transfer it to a paper towel-lined bowl to fully dry.
2.	Meanwhile, In a large bowl, whisk to combine greek yogurt, lemon juice or vinegar, salt, pepper, and dill leaves. Set aside.
3.	Then add the cooked broccoli, pumpkin seeds into the dressing and toss well until evenly coated.
4.	Refrigerate this salad for at least 1 hour so that broccoli gets a chance to soak in some of the dressing and adds more flavor to the salad!
",,,https://www.indianveggiedelight.com/broccoli-dill-salad/#recipe,1,Katori- 150ml,"[""IND""]",6,-1,9,-1,9,-1,6,-1,2.4,-1,-1,-1,-1,-1,9,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,7,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,9,9,-1,-1,-1,-1
2170,Paneer Patty Cabbage Wrap,पनीर पैटी गोभी रैप,V,W,"[4,7]",278.2,18.3,17.2,13.1,5.1,"[""""]",3,-1,"[""U"",""C""]","[""ML"",""UA"",""T""]","[""HP""]",-,-1,-1,2170,-,"
5-Minute Kitchen","•        1 head green cabbage (you won't use it all!), carefully cored with a knife
•        1 paneer patty with amaranth coating
•        1 slice onion
•        2 slices tomato
•        Optional toppings: tomato dip, Cream cheese
•        Coconut flour: 2 tsp
","1.	Place the head of cabbage in a large microwave-safe bowl and microwave for about 4 minutes, until the outer leaves begin to loosen.
2.	Once cool enough to handle, remove the cabbage from the bowl. Gently remove 2 whole outer leaves from the cabbage, and place them back in the bowl. (Reserve the rest of the cabbage for another use.)
3.	Add 2 tbsp. of water to the bowl with the cabbage leaves. Cover and microwave for about 2 minutes, until leaves are very soft.
4.	Meanwhile, spray a skillet with nonstick spray and bring to medium heat on the stove.
5.	Take a rectangular paneer slice, coat it in coconut flour paste. 
6.	Grill the patty on the non-stick tawa
7.	Add the burger patty and onion slice and cook for about 4 minutes per side, until cooked through.
8.	Top one cabbage leaf with the burger patty, followed by a tomato slice, the onion, and the remaining tomato slice. If you like, top with tomato dip or cream cheese and mustard. Gently top with the other leaf. Chew!

",https://www.youtube.com/embed/9Dzem5Y9LIU,,https://www.hungry-girl.com/recipes/ginormous-cabbage-wrapped-burger-stack,1,pc- 150g,"[""IND""]",3,-1,3,-1,3,-1,3,-1,13.2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,12,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,6,6,-1,-1,-1,-1
2171,Zucchini Hummus,ज़ुचिनी हम्मस,Ve,SD,"[4,7]",75.5,5.5,4.3,3.4,2.8,"[""""]",6,-1,"[""U"",""C""]","[""N""]","[""AI"",""FL""]",-,-1,-1,2171,-,Comedy Kitchen,"•        Zucchini (no need to peel!)
•        Runny tahini
•        A large lemon, zested and juiced
•        Garlic
•        Salt
","1.        Place chopped zucchini, tahini, lemon zest and juice, garlic and salt in a high speed blender and blend on the highest speed until completely smooth and creamy.  Do not over-blend if you plan to enjoy right away or it will get warm.  Add 1 tablespoon of water if your blender is having trouble getting started.
2.        Taste and adjust seasonings/flavors if desired.  Add more water to thin but not too much or it will get runny.  
3.        Use a mini spatula to transfer to a bowl and enjoy immediately with raw veggies, or with falafel.  
4.        Store leftovers in an airtight container in the refrigerator for up to five days
",https://www.youtube.com/embed/O6xF15Am_nI,,https://www.eatingbyelaine.com/easy-paleo-zucchini-hummus-no-chickpeas/,1,Katori- 150ml,"[""IND""]",6,-1,6,-1,6,-1,6,-1,2.7,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,9,9,-1,-1,-1,-1
2172,Creamy Cucumber Sushi Rolls (Veggie),मलाईदार ककड़ी सुशी रोल (वेजी),V,W,"[4,7]",60.7,2.9,4,3.3,1.3,"[""""]",-1,-1,"[""U"",""C""]","[""ML""]","[""""]",-,-1,-1,2172,-,dudafresh.com,"•        2 English cucumbers, shaved into long strips (24 strips)
•        1 green bell pepper, cut into thin strips about 3” tall
•        1 red bell pepper, cut into thin strips about 3” tall
•        1 carrot, cut into sticks about 3” tall
•        ¾ cup Radish Mini sticks
•        24 cilantro springs
•        ¼ cup low-fat cream cheese
•        ¼ cup goat cheese
•        1 teaspoon vinegar
•        ⅛ teaspoon salt
•        pepper to taste","1.	Prepare all vegetables and set aside in individual bowls. Shave long strips of English cucumber with a vegetable peeler.
2.	Add cream cheese, goat cheese, vinegar, salt, and pepper to a small bowl and stir until smooth and creamy.
3.	Lay one cucumber strip on a flat surface. Add 1 tablespoon of cheese filling to one end of the strip, spreading it to cover about 2 inches. Add a few of each vegetable and a sprig of cilantro.
4.	Starting at the filling end, roll the vegetables up in the cucumber strip tightly. Chill before serving.

",,,https://www.dudafresh.com/recipes/appetizers/cucumber-wrapped-veggie-sushi-with-radish-sticks,1,pc- 50g,"[""IND""]",1,-1,1,-1,1,-1,1,-1,1.6,-1,-1,-1,-1,-1,9,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,-1,-1,-1,-1
2173,Omelette Lettuce Wrap,आमोलेट लेट्यूस रैप,E,W,"[4,7]",259.3,5.7,17.2,19.5,5.4,"[""""]",9,-1,"[""U"",""C""]","[""E""]","[""D"",""FL"",""AI"",""UA""]",-,-1,-1,2173,-,BY FELICIA LIM,"•        2 eggs
•        1/4 cup of water
•        Salt and pepper to taste
•        1/4 cup chopped spring onions
•        1/2 cup of sliced button mushrooms
•        1/2 cup of fresh spinach leaves
•        1/2 cup of freshly torn lettuce leaves
•        Salad of your choice, to accompany omelet wrap
•        Oil 1/2tsp","1.        In a small bowl, beat the eggs with the 1/2 cup of water
2.        Add in salt and pepper and beat some more
3.        Heat a bit of oil in a large skillet over medium-low heat
4.        Pour half the beaten egg mixture into the skillet, making sure the entire surface is covered
5.        Sprinkle half the amount of spring onion evenly on the top of the omelet and let it cook gently before flipping over to the other side (about 2 – 3 minutes). Once the other side is cooked, remove omelet from skillet and set aside.
6.        Repeat with the rest of the egg mixture and spring onions
7.        Place omelets (spring onion side facing down) on a large plate
8.        Dividen sliced mushrooms, spinach and lettuce evenly between both omelet and roll the omelets like you would roll a burrito
9.        Serve omelet wraps with salad of your choice
",,,https://www.dishbydish.net/omelet-wraps-with-spinach-lettuce-mushrooms/,1,pc- 300g,"[""IND""]",9,-1,9,-1,9,-1,9,-1,0.3,-1,-1,-1,-1,-1,9,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1
2174,Bhindi Stew,भिंडी स्टू,Ve,C,"[4,7]",97,9.3,5.9,2.3,3.7,"[""""]",6,-1,"[""U"",""S""]","[""""]","[""""]",-,-1,-1,2174,-,Nithya Anantham,"•        500 grams Bhindi (Lady Finger/Okra), cut into 1-inch pieces
•        1 Onion, big, sliced
•        1 Green Chilli, slit
•        1 cup Coconut milk, thick
•        2 teaspoons Ginger, grated
•        1 teaspoon Mustard seeds (Rai/ Kadugu)
•        1 sprig Curry leaves
•        1 tablespoon Coconut Oil
•        Salt, to taste","1.	To begin, first wash, dry and cut the okras into 1 inch long pieces and keep aside.
2.	Heat coconut oil in a pan on medium heat, add the mustard seeds and let it splutter.
3.	Add the curry leaves and let it splutter.
4.	Add the sliced onions and saute until it turns translucent.
5.	Add the grated ginger, slit green chilli and saute for a minute.
6.	Add the cut okras and mix well.
7.	Season with salt and saute for around 10 minutes till its half cooked.
8.	Close with the lid and let the okras cook well.
9.	Once its cooked, add the coconut milk and a cup of water and bring it to a rolling boil.
10.	Switch off the flame and serve the Okra or Vendakka Stew. 
",,,https://www.archanaskitchen.com/vendakka-stew-recipe-kerala-style-okra-stew,1,Katori- 150ml,"[""IND""]",9,-1,6,-1,6,-1,9,-1,3.1,-1,-1,-1,-1,-1,9,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,6,6,-1,-1,-1,-1
2175,Spinach Green Apple Smoothie,पालक हरे सेब स्मूदी,Ve,DS,"[2,3,6]",120,18.8,3.4,4.5,4.9,"[""""]",9,-1,"[""U"",""C""]","[""N""]","[""IR"",""AI""]",-,9,2,2175,-,"
Authentic Kitchen By Nikhs","• 2 big handfuls of baby spinach
• 1 medium green apple, cut into large chunks
• 3 to 4-inch piece cucumber preferably peeled, cut into chunks
• 1 cup unsweetened almond milk
• 1 tablespoon hemp seeds or chia seeds
• 2 teaspoons another liquid sweetener
• 1 tablespoon lemon juice","1. Combine all the ingredients in a blender.
2. Process until completely smooth.
3. Divide between 2 or 3 glasses and serve at once.",https://www.youtube.com/embed/a7TiE98eXPA,,https://www.vegkitchen.com/spinach-apple-smoothie/,1,Glass- 250ml,"[""IND""]",6,-1,6,-1,6,-1,6,-1,8.8,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,9,9,9,9,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,2,9,-1,-1,-1,-1,-1,3,6,9,2,-1,-1
2176,Salsa,साल्सा,Ve,SD,"[4,7]",40,7.8,0.5,1.7,2.5,"[""""]",3,-1,"[""U"",""C""]","[""""]","[""""]",-,-1,-1,2176,-,"
That Low Carb Life","• 2 to 3 medium fresh tomatoes
• 1/2 medium red onion
• 1 jalapeño pepper, stems, ribs, and seeds removed (less or more to taste)
• Juice of 1 lime
• 1/2 cup chopped cilantro
• Salt and pepper to taste
• 1 pinch dried oregano (crumble in your fingers before adding), or more to taste
• 1 pinch ground cumin, or more to taste","1. Roughly chop the tomatoes, chili peppers, and onions.
2. Place all of the ingredients in the bowl of a food processor fitted with the blade. Pulse only a few times, just enough to finely dice the ingredients and not enough to purée. If you don't have a food processor, you can finely dice by hand.
3. Place in a serving bowl. Add salt and pepper to taste. If the chilis make the salsa too hot, add some more chopped tomato. If it's not hot enough, carefully add a few of the seeds from the chilis, or add a little more ground cumin.
4. If you like, let the salsa sit for an hour (room temperature or chilled) for the flavors to combine.
5. Serve with chips, tortillas, tacos, burritos, tostadas, quesadillas, or pinto or black beans. The salsa will keep refrigerated for up to 5 days.",https://www.youtube.com/embed/Zbr8RcemxyA,,https://www.simplyrecipes.com/recipes/fresh_tomato_salsa/,1,Katori- 150ml,"[""IND""]",3,-1,1,-1,3,-1,3,-1,5.4,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,9,9,-1,-1,-1,-1
2177,Tomato Dip,टमाटर डुबकी,Ve,SD,"[4,7]",57,5.8,3.3,1.4,2.8,"[""""]",6,-1,"[""U"",""C""]","[""UA""]","[""""]",-,-1,-1,2177,-,Headbanger's Kitchen,"•        30ml olive oil
•        2 teaspoons minced garlic or 8 to 10 small to medium-sized garlic or 5 grams
•        2 cups crushed tomatoes or 5 to 6 medium to large tomatoes or 500 grams
•        ¼ cup chopped fresh basil or 1 to 2 tablespoons dried basil
•        2 teaspoons dried oregano or 2 tablespoons chopped fresh oregano
•        salt as required
•        ½ teaspoon crushed black pepper or add as required
","1.	Rinse and then chop the tomatoes.
2.	Crush the tomatoes in a blender.
3.	You can even make a smooth puree of the tomatoes.
4.	Heat olive oil in a pan.
5.	Then add the minced garlic and sauté for 4 to 5 seconds on a low heat.
6.	Add the crushed tomatoes and sauté for 4 to 5 mins on a low to medium-low heat.
7.	Add the chopped basil, dried oregano, salt and pepper.
8.	Cover and cook for 25 minutes on low heat till the sauce has thickened and the tomatoes are cooked.
9.	When tomatoes are cooked you will some oil specks on top or on the sides. But cook till the sauce thickens. 
10.	Check the seasonings add more salt or pepper if required.
11.	Remove from pan and let sauce cool.
12.	When the sauce has cooled, you can use it right away as a pizza topping or a dip.
13.	Otherwise, store the pizza sauce covered or sealed in a bowl or a small to medium jar in the refrigerator. You can even freeze the sauce for a couple of months.
",https://www.youtube.com/embed/HWnqw8RLgH4,,https://www.vegrecipesofindia.com/basic-tomato-pizza-sauce-recipe/,1,Katori- 150ml,"[""IND""]",3,-1,1,-1,3,-1,3,-1,4.96,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,9,9,-1,-1,-1,-1
2178,Kiwi Coconut Smoothie,कीवी नारियल स्मूथी,Ve,DS,"[2,3,6]",237,20.7,16.1,4,3.9,"[""""]",9,-1,"[""U"",""C""]","[""""]","[""B"",""AI""]",-,3,-1,2178,-,"By
MICHAELA CISNEY","•        2 kiwis, peeled and quartered
•        1/2 medium avocado
•        1 cup coconut water
•        2 tablespoons Coconut milk
•        1 lemon, juiced (more to taste)
•        1 tsp Melon seeds
•        4 to 5 ice cubes 
","1.	Place all ingredients in a blender and blend on high until smooth and creamy, about one minute. 
2.	Serve over ice.
",,,https://www.thekitchn.com/recipe-creamy-coconut-kiwi-smoothie-recipes-from-the-kitchn-205391,1,cup- 200 ml,"[""IND""]",6,-1,3,-1,3,-1,6,-1,16.8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,9,-1,-1,-1,-1,-1,3,6,3,-1,-1,-1
2179,Black Sesame Almond Milk,काला तिल बादाम दूध,Ve,DMK,"[2,3,8]",200,20,12,2,1,"[""""]",9,-1,"[""U"",""C""]","[""N""]","[""B"",""D"",""AI""]",-,-1,-1,2179,-,"
Melissa","•        1 ½ cup black sesame seeds
•        2 cups almonds raw
•        2-3 fresh dates
•        3 cups water
","1.        Place the raw almonds in a medium-sized bowl and fill the bowl with enough water to cover the almonds. Place the black sesame seeds in a small-bowl and also cover them with water. Cover both bowls and leave out at room temperature for at least 8 hours or overnight to soak.
2.        Drain the almonds and black sesame seeds and rinse them under cool water. Place them into a blender. Add 3 cups of cool water and overnight soaked dates.
3.        Blend the mixture on high for 1-2 minutes, or until the mixture is completely smooth and there are no chucks of seeds or almonds left.
4.        Place 2 layers of cheesecloth over a large bowl (preferably with a spout) and pour the nut milk mixture into it. Fold the edges into the center and raise the entire cheesecloth out of the bowl to drain the nut milk. Squeeze the bag until all of the milk is drained out.
5.        Put aside the pulp mixture and cheesecloth. (You can use the pulp mixture in cookies or in your chapati dough).
6.        Pour the nut milk into a pitcher and place in the fridge. You can enjoy this nut milk either cold or warmed.  
",,,https://seasonandserveblog.com/2019/01/07/black-sesame-almond-milk/,1,cup- 200 ml,"[""IND""]",3,-1,9,-1,9,-1,3,-1,2.6,-1,-1,-1,-1,-1,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,3,6,-1,-1,-1,-1
2180,Mulberry Coconut Basil Smoothie,शहतूत नारियल तुलसी स्मूथी,Ve,DSK,"[2,3,6]",155,14.8,8.6,4.9,2.7,"[""""]",6,-1,"[""U"",""C""]","[""N""]","[""B"",""AN"",""FL"",""IR"",""D"",""AI""]",-,-1,-1,2180,-,Nelle Weaver,"•        1 cup mulberries
•        ¼-½ cup almond milk 
•        ½ cup homemade full fat Unsweetened Coconut Milk or Organic Coconut Cream 
•        1 pinch of sea salt
•        ½ teaspoon pure vanilla extract
•        ¾ cup crushed ice
•        1tsp basil seeds (soaked for 3 hours
","1. Combine all ingredients, except for the ice and ¼ cup almond milk, in a blender, and blend until well-combined, add extra almond milk if needed for thinning.
2.Turn off blender to scrape the sides as needed. Add ice and blend until smooth.
3. Pour into your favorite glass and enjoy! 
",,,http://www.farmgirlpaleo.com/mixed-berry-smoothie/,1,cup- 200 ml,"[""IND""]",3,-1,9,-1,9,-1,3,-1,12.1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,3,6,-1,-1,-1,-1
2181,Paan Coconut Ladooo,पान नारियल लाडूओ,Ve,WD,"[3,4,7]",119,13.6,6.5,1.9,1.2,"[""""]",3,-1,"[""U""]","[""""]","[""AI""] ",-,-1,-1,2181,-,,"•        1 cup unsweetened shredded coconut
•        2 tbsp water and stevia to taste
•        2 tbsp virgin coconut oil
•        1/4 tsp pure vanilla extract
•        1/8 tsp salt
•        4 paan leaves, also known as betel leaves
•        5 teaspoons crushed rose petals
•        1/2 cup coconut cream","1.        Blend coconut cream and paan leaves in blender or food processor (not by hand or they’ll fall apart). 
2.        Heat ghee in a pan on medium heat. Once ghee is hot, add desiccated coconut and roast for 2-3 minutes on medium-low heat.
3.        Add the coconut cream- paan mixture and stir to combine. You may add few drops of green food color at this point.
4.        Cook for another 2 minutes on low heat, mixture will thicken. Remove from heat and let the mixture cool down a bit.
5.        Grease your hands with little ghee, take small portion from the coconut mixture, flatten it and add 1/2-1 teaspoon of crushed rose petals in the center.
6.        Bring the edges together and roll to form a ladoo.
7.        Roll the prepared ladoo in desiccated coconut. Repeat the same process with the remaining ladoos.
8.        Refrigerate or freeze leftovers.
",,,,1,pc- 30g,"[""IND""]",3,-1,3,-1,3,-1,3,-1,1.1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
2182,Lauki Halwa,लाउकी हलवा,Ve,WD,"[3,4,7]",182,20.4,10,3.4,2.3,"[""""]",3,-1,"[""U""]","[""N""]","[""""]",-,-1,-1,2182,-,CuminPeppers,"•        2 tablespoons coconut oil (or ghee)
•        2 cups lauki (bottle gourd) peeled and shredded
•        ½ cup unsweetened almond milk
•        10 serves stevia (adjust as per your taste)
•        ¼ cup almond flour 
•        ⅛ teaspoons cardamom powder
•        2-3 tablespoons sliced almonds or pistachios","1.	Peel the skin, remove the seeds if any and grate lauki using medium sized blade.
2.	In a heavy bottom pan add ghee into the pot, once hot add shredded lauki/bottle gourd and saute them in the ghee for about 2-3 minutes.
3.	Next add milk. Give a quick stir.
4.	Cook on medium low flame for about 10 minutes till milk thickens or till the gourd is fully cooked, stir occasionally.
5.	Add stevia, almond flour to this mixture, and cook on medium flame for another 2-3 minutes or until it thickens a bit.
6.	Lastly add cardamom powder and nuts. Mix well. Turn off the gas. Bottle Gourd Halwa is Ready. Serve hot or chilled.
",https://www.youtube.com/embed/GiNXiHnHUBE,,https://www.indianveggiedelight.com/lauki-halwa-instant-pot/#recipe,1,Katori- 150ml,"[""IND""]",3,-1,3,-1,3,-1,3,-1,3,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,6,6,-1,-1,-1,-1
2183,Curry Leaves Rasam,करी रसम छोड़ देता है,Ve,C,"[4,7]",40,3.3,2.7,0.8,1.7,"[""""]",6,-1,"[""U"",""S""]","[""""]","[""D"",""C"",""AI"",""FL""]",-,-1,-1,2183,-,cookforyourlife.org,"For roasting and grinding
•        1 tbsp coconut oil 
•        2 tsp coriander seeds
•        1 tsp cumin
•        1 tsp peppercorns
•        4 garlic pods chopped
•        2 strings curry leaves
For rasam
•        1 tsp coconut oil
•        ½ tsp mustard seeds
•        1 dry red chili
•        a pinch asafoetida
•        1 garlic pod crushed
•        few curry leaves
•        ¼ tsp turmeric powder
•        salt to taste
•        2 cups water
","For Roasting and Grinding:
1.        Heat 1 tbsp of coconut oil in a pan, add 2 tsp coriander seeds, 1 tsp cumin, 1 tsp black peppercorns, and then 4 garlic pods (chopped), fry it in low flame for 1 minute
2.        Then add ¼ cup of curry leaves, fry it in low flame for 1 minute
3.        Let this mixture cool it completely
4.        And then transfer the roasted mixture to a blender jar, blend it smoothly with little water
For making rasam:
5.        Heat 1 tsp of coconut oil in the same pan, add 1/2 tsp of mustard seeds, 1 dry red chili,
6.        Then add a pinch of asafoetida, 1 crushed garlic pod, few curry leaves
7.        Now add ground paste and salt and ¼ tsp of turmeric powder, mix it
8.        Now add 2½ cup of water, mix well
9.        Keep the flame low, when it starts boiling, immediatedly turn off the flame, garnish with coriander leaf
",,,,1,Katori- 150ml,"[""IND""]",6,-1,9,-1,9,-1,6,-1,-3.45,-1,-1,-1,-1,-1,9,7,-1,-1,-1,-1,-1,-1,9,6,-1,-1,9,9,9,6,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,6,6,-1,-1,-1,-1
2184,Hibiscus Flower Ginger Tea,हिबिस्कस फूल अदरक चाय,Ve,DZ,"[2,3]",2,0,0,0,0,"[""""]",6,-1,"[""U"",""C""]","[""""]","[""B"",""AI"",""AN"",""C"",""A"",""D""] ",-,-1,-1,2184,-,by Bhavana Patil,"•        ¼ cup dried hibiscus flowers 
•        2-inch piece of ginger, thinly sliced
•        6 to 8 cups boiling water
•        4 tsp eq. Stevia
","1.	Put the dried hibiscus flowers and ginger, into a measuring cup or pot big enough to hold 8 cups. Cover with the boiling water, and steep for 5 minutes or until you have the desired strength. The longer you leave it to steep, the stronger and more intense the flavor will be.
2.	Strain the tea into a jug or carafe through a fine sieve. It will be a gorgeous dark red. Stir in the stevia to taste. 
3.	Serve hot or poured over ice.
 
",,,https://www.cookforyourlife.org/recipes/ginger-hibiscus-tea/,1,cup-150 ml,"[""IND"",""USA"",""CAN"",""AUS""]",9,-1,9,-1,9,-1,9,-1,0.4,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,9,9,9,9,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,6,-1,-1,-1,-1,-1,6,3,9,-1,-1,-1
1980,Stir fry vegetables  with Egg,अंडे के साथ सब्जियों को भूनें,E,W,"[2,4,7]",141,8.8,9.9,5.7,2.8,"[""""]",9,-1,"[""U""]","[""E"",""N"",""UA""]","[""D"",""HP"",""IR"",""AN"",""VD""]",-,-1,-1,1980,-,FitrofyRecipes,"INGREDIENTS
1tsp Olive oil/ Sesame oil/ ghee
¼ cup roughly chopped Mushroom
1-2 sliced baby corns  (Optional)
¼ cup thin long sliced Carrot
¼ cup French Beans
¼ Steam cooked broccoli or cauliflower
½  cup Capsicum (red, yellow & green of your choice)
½ cup Zucchini (Optional)
1tbsp soy sauce
¼ tsp Vinegar
1 sliced red chill
2 to 3 basil leaves or Coriander leaves 
1 tbsp black and white sesame seeds mix  (Optional)
Salt (to taste)
1/2 tsp Pepper Powder
2 Eggs","METHOD 
Boil the eggs and remove the shells, 
Cut them into long slices and keep aside.
Alternatively make scrambled eggs 
Take the oil in a nonstick pan. Heat up a little.
Add all  of the vegetables.
Stir fry for a while
In a cup add Soy sauce, vinegar, with all the spices. Make a slurry
Evenly spread the slurry over the veggies.
Add boiled egg slices
Saute for a while
Sprinkle the sesame seeds
Toss around the vegetables for a while and they are done!
Serve",https://www.youtube.com/embed/2TpHmg5s9GI?si=Ydza3nKhHJgy-lU9,-,-,1,Katori- 150ml,"[""IND""]",9,-1,9,-1,9,-1,9,4,0.8,9,2,9,2,2,9,4,9,2,9,4,9,4,-1,9,9,-1,12,9,9,-1,-1,9,4,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,-1,9,-1,9,2,9,2,3,3,-1,-1,-1,-1
